,ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Demo User,Free Trial User,Free Trial Start Date,Free Trial Expiration,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,InvoiceDate,Cluster
3426,12460,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-02-24,2099-01-01,No,Yes,2/11/2020,2/14/2020,Off,US/Canada,Consumer,Web,Yes,Yes,23.0,7.0,7.0,3.0,3.0,2020-02-24,0
3429,12467,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-03-02,2099-01-01,No,Yes,1/26/2020,1/29/2020,Off,US/Canada,Consumer,Web,No,Yes,25.0,25.0,22.0,4.0,2.0,2020-03-02,0
3432,12499,CHI,Limited,INITIAL_PURCHASE,Web,58.38,USD,2020-01-19,2020-04-22,No,Yes,1/19/2020,1/22/2020,On,Europe,Consumer,Web,No,Yes,21.0,21.0,12.0,3.0,1.0,2020-01-19,1
3435,12507,NED,Limited,INITIAL_PURCHASE,Web,65.94,USD,2019-10-05,2020-04-20,No,Yes,10/5/2019,10/8/2019,Off,Other,Consumer,Web,No,Yes,9.0,9.0,2.0,2.0,1.0,2019-10-05,1
3438,12518,ALL,Lifetime,INITIAL_PURCHASE,Web,212.93,USD,2020-03-29,2099-01-01,No,Yes,3/29/2020,4/1/2020,Off,US/Canada,Consumer,Web,Yes,Yes,3.0,2.0,0.0,1.0,0.0,2020-03-29,0
3441,12522,ITA,Limited,INITIAL_PURCHASE,Web,47.19,USD,2020-01-20,2020-06-17,No,Yes,1/20/2020,1/23/2020,On,Europe,Consumer,Web,Yes,Yes,110.0,6.0,0.0,4.0,0.0,2020-01-20,1
3444,12530,FRA,Limited,INITIAL_PURCHASE,Web,107.69,USD,2020-02-12,2020-09-19,No,Yes,3/29/2020,4/1/2020,On,Europe,Consumer,Web,Yes,Yes,312.0,306.0,292.0,11.0,2.0,2020-02-12,0
3447,12539,CHI,Limited,INITIAL_PURCHASE,Web,65.94,USD,2019-10-15,2020-04-19,No,Yes,10/15/2019,10/18/2019,On,Other,Consumer,Web,No,Yes,1.0,1.0,0.0,1.0,0.0,2019-10-15,1
3450,12545,FRA,Limited,INITIAL_PURCHASE,Web,37.95,USD,2020-02-25,2020-05-28,No,Yes,2/25/2020,2/28/2020,On,US/Canada,Consumer,Web,Yes,Yes,12.0,6.0,5.0,2.0,1.0,2020-02-25,0
3453,12549,ESP,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-07-05,2019-10-09,No,Yes,7/5/2019,7/8/2019,Off,US/Canada,Consumer,Web,Yes,Yes,68.0,0.0,0.0,0.0,0.0,2019-07-05,1
3456,12577,ALL,Limited,INITIAL_PURCHASE,Web,193.9,USD,2020-03-31,2022-03-31,No,Yes,3/31/2020,4/3/2020,On,Europe,Consumer,Web,Yes,Yes,5.0,2.0,0.0,1.0,0.0,2020-03-31,0
3459,12593,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-09-24,2020-03-19,No,Yes,9/24/2019,9/27/2019,Off,US/Canada,Consumer,Web,Yes,Yes,7.0,0.0,0.0,0.0,0.0,2019-09-24,1
3462,12603,DEU,Limited,INITIAL_PURCHASE,Web,26.41,USD,2019-08-19,2019-11-09,No,Yes,8/19/2019,8/22/2019,Off,Europe,Consumer,Web,Yes,Yes,2.0,0.0,0.0,0.0,0.0,2019-08-19,1
3465,12608,ESP,Limited,RENEWAL,Web,79.0,USD,2019-08-13,2020-05-16,No,Yes,8/13/2019,8/16/2019,On,US/Canada,Consumer,Web,Yes,Yes,3.0,1.0,0.0,1.0,0.0,2019-08-13,1
3468,12610,KOR,Limited,INITIAL_PURCHASE,Web,53.84,USD,2019-12-09,2021-02-03,No,Yes,12/9/2019,12/12/2019,Off,Europe,Consumer,Web,No,Yes,40.0,37.0,4.0,19.0,2.0,2019-12-09,1
3471,12611,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-08,2099-01-01,No,Yes,2/23/2020,2/26/2020,Off,US/Canada,Consumer,Web,No,Yes,49.0,48.0,39.0,17.0,9.0,2020-03-08,0
3474,12679,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-22,2099-01-01,No,Yes,3/22/2020,3/25/2020,Off,US/Canada,Consumer,Web,Yes,Yes,8.0,4.0,0.0,3.0,0.0,2020-03-22,0
3477,12681,ITA,Limited,INITIAL_PURCHASE,Web,41.73,USD,2019-08-07,2020-02-10,No,Yes,8/7/2019,8/10/2019,Off,US/Canada,Consumer,Web,Yes,Yes,91.0,31.0,2.0,29.0,1.0,2019-08-07,1
3480,12691,KOR,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-02-09,2020-06-15,No,Yes,2/9/2020,2/12/2020,Off,US/Canada,Consumer,Web,Yes,Yes,145.0,85.0,49.0,30.0,7.0,2020-02-09,1
3483,12717,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-01-15,2020-04-18,No,Yes,1/15/2020,1/18/2020,On,Other,Consumer,Web,No,Yes,2.0,1.0,0.0,1.0,0.0,2020-01-15,1
3486,12761,ESP,Limited,RENEWAL,Web,79.0,USD,2019-05-11,2020-05-14,No,Yes,5/11/2019,5/14/2019,On,US/Canada,Consumer,Web,Yes,Yes,7.0,6.0,0.0,2.0,0.0,2019-05-11,1
3489,12763,ESP,Limited,INITIAL_PURCHASE,Web,0.0,USD,2019-06-05,2019-09-08,No,Yes,6/5/2019,6/8/2019,On,US/Canada,Consumer,Web,Yes,Yes,32.0,0.0,0.0,0.0,0.0,2019-06-05,1
3492,12775,ESC,Limited,RENEWAL,Web,35.97,USD,2019-08-21,2020-05-24,No,Yes,8/21/2019,8/24/2019,On,US/Canada,Consumer,Web,Yes,Yes,3.0,0.0,0.0,0.0,0.0,2019-08-21,1
3495,12777,FRA,Limited,RENEWAL,Web,79.0,USD,2019-10-29,2020-04-30,Yes,Yes,8/19/2017,8/22/2017,Off,Europe,Consumer,App,No,Yes,3.0,2.0,2.0,1.0,1.0,2019-10-29,1
3498,12780,ALL,Lifetime,INITIAL_PURCHASE,Web,218.4,USD,2020-03-02,2099-01-01,No,Yes,2/20/2020,2/23/2020,Off,US/Canada,Consumer,Web,Yes,Yes,73.0,68.0,56.0,8.0,3.0,2020-03-02,0
3501,12785,ITA,Limited,INITIAL_PURCHASE,Web,61.85,USD,2020-03-26,2020-09-29,No,Yes,3/26/2020,3/29/2020,On,Europe,Consumer,Web,No,Yes,72.0,72.0,72.0,2.0,2.0,2020-03-26,0
3504,12793,ALL,Lifetime,INITIAL_PURCHASE,Web,211.44,USD,2020-03-07,2099-01-01,No,Yes,3/3/2020,3/6/2020,Off,US/Canada,Consumer,Web,Yes,Yes,153.0,38.0,0.0,26.0,0.0,2020-03-07,0
3507,12797,ARA,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-07-03,2019-10-07,No,Yes,7/3/2019,7/6/2019,Off,US/Canada,Consumer,Web,Yes,Yes,139.0,0.0,0.0,0.0,0.0,2019-07-03,1
3510,12805,ESP,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-08-26,2020-02-29,No,Yes,8/26/2019,8/29/2019,Off,US/Canada,Consumer,Web,Yes,Yes,23.0,1.0,0.0,1.0,0.0,2019-08-26,1
3513,12807,ESC,Limited,INITIAL_PURCHASE,Web,110.5,USD,2020-03-18,2021-03-21,No,Yes,3/18/2020,3/21/2020,On,Europe,Consumer,Web,Yes,Yes,4.0,4.0,0.0,2.0,0.0,2020-03-18,0
3516,12823,DEU,Limited,RENEWAL,Web,49.83,USD,2019-10-28,2020-05-03,No,Yes,10/28/2019,10/31/2019,On,Europe,Consumer,Web,No,Yes,1.0,0.0,0.0,0.0,0.0,2019-10-28,1
3519,12825,DEU,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-07-08,2019-10-11,No,Yes,7/8/2019,7/11/2019,Off,US/Canada,Consumer,Web,Yes,Yes,36.0,0.0,0.0,0.0,0.0,2019-07-08,1
3522,12832,ITA,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-11-03,2020-04-07,No,Yes,1/20/2020,1/23/2020,Off,US/Canada,Consumer,Web,Yes,Yes,28.0,2.0,0.0,2.0,0.0,2019-11-03,1
3525,12840,ALL,Lifetime,INITIAL_PURCHASE,Web,212.13,USD,2020-03-24,2099-01-01,No,Yes,10/3/2019,10/6/2019,Off,US/Canada,Consumer,Web,Yes,Yes,241.0,124.0,4.0,67.0,1.0,2020-03-24,0
3528,12853,POR,Limited,INITIAL_PURCHASE,Web,38.34,USD,2020-02-07,2020-05-10,No,Yes,2/7/2020,2/10/2020,On,US/Canada,Consumer,Web,Yes,Yes,19.0,8.0,3.0,2.0,1.0,2020-02-07,1
3531,12916,DEU,Limited,INITIAL_PURCHASE,Web,83.49,USD,2019-12-03,2021-01-31,No,Yes,12/3/2019,12/6/2019,On,Europe,Consumer,Web,No,Yes,1.0,0.0,0.0,0.0,0.0,2019-12-03,1
3534,12922,ESP,Limited,INITIAL_PURCHASE,Web,41.48,USD,2020-01-01,2020-04-05,No,Yes,1/1/2020,1/4/2020,Off,US/Canada,Consumer,Web,Yes,Yes,11.0,2.0,0.0,1.0,0.0,2020-01-01,1
3537,12955,RUS,Limited,INITIAL_PURCHASE,Web,16.87,USD,2019-05-30,2020-05-30,No,Yes,1/10/2020,1/13/2020,Off,Europe,Consumer,Web,No,Yes,18.0,16.0,14.0,4.0,2.0,2019-05-30,1
3540,12959,HEB,Limited,INITIAL_PURCHASE,Web,53.84,USD,2019-11-06,2020-05-17,No,Yes,3/14/2020,3/17/2020,Off,Europe,Consumer,Web,No,Yes,5.0,5.0,5.0,1.0,1.0,2019-11-06,1
3543,12970,DEU,Limited,INITIAL_PURCHASE,Web,79.0,USD,2020-01-23,2020-04-26,No,Yes,1/23/2020,1/26/2020,On,Europe,Consumer,Web,No,Yes,2.0,0.0,0.0,0.0,0.0,2020-01-23,0
3546,12990,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-03-22,2020-06-27,No,Yes,3/22/2020,3/25/2020,Off,US/Canada,Consumer,Web,No,Yes,10.0,10.0,6.0,4.0,2.0,2020-03-22,0
3549,13017,FAR,Limited,INITIAL_PURCHASE,Web,0.0,USD,2018-11-11,2019-11-11,No,Yes,1/1/2020,1/4/2020,On,US/Canada,Consumer,Web,Yes,Yes,178.0,12.0,0.0,10.0,0.0,2018-11-11,1
3552,13043,FRA,Limited,INITIAL_PURCHASE,Web,166.1,USD,2020-03-29,2022-04-01,No,Yes,3/29/2020,4/1/2020,Off,Europe,Consumer,Web,Yes,Yes,5.0,0.0,0.0,0.0,0.0,2020-03-29,0
3555,13049,ITA,Limited,INITIAL_PURCHASE,Web,41.44,USD,2019-08-06,2019-11-09,No,Yes,8/6/2019,8/9/2019,Off,US/Canada,Consumer,Web,Yes,Yes,47.0,0.0,0.0,0.0,0.0,2019-08-06,1
3558,13079,ESP,Limited,INITIAL_PURCHASE,Web,70.65,USD,2019-10-22,2020-04-25,No,Yes,10/22/2019,10/25/2019,On,US/Canada,Consumer,Web,Yes,Yes,5.0,0.0,0.0,0.0,0.0,2019-10-22,1
3561,13086,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-09-06,2019-12-10,No,Yes,9/6/2019,9/9/2019,Off,US/Canada,Consumer,Web,Yes,Yes,201.0,58.0,0.0,50.0,0.0,2019-09-06,1
3564,13111,RUS,Limited,RENEWAL,Web,59.29,USD,2020-01-14,2020-07-17,No,Yes,1/14/2020,1/17/2020,On,Europe,Consumer,Web,No,Yes,5.0,5.0,0.0,3.0,0.0,2020-01-14,1
3567,13129,FRA,Limited,INITIAL_PURCHASE,Web,32.37,USD,2019-11-10,2020-02-21,No,Yes,11/10/2019,11/13/2019,On,Other,Consumer,Web,No,Yes,1.0,0.0,0.0,0.0,0.0,2019-11-10,1
3570,13150,POR,Limited,INITIAL_PURCHASE,Web,0.0,USD,2018-11-24,2019-06-17,No,Yes,11/24/2018,11/28/2018,On,US/Canada,Consumer,App,Yes,Yes,182.0,15.0,0.0,11.0,0.0,2018-11-24,1
3573,13167,ESP,Limited,RENEWAL,Web,119.0,USD,2019-09-27,2020-09-30,No,Yes,9/27/2019,9/30/2019,On,US/Canada,Consumer,Web,No,Yes,30.0,30.0,0.0,2.0,0.0,2019-09-27,1
3576,13183,ESP,Limited,INITIAL_PURCHASE,Web,84.53,USD,2019-12-29,2020-04-19,No,Yes,4/22/2020,4/25/2020,Off,US/Canada,Consumer,Web,Yes,Yes,42.0,19.0,0.0,5.0,0.0,2019-12-29,1
3579,13192,POR,Limited,INITIAL_PURCHASE,Web,39.0,USD,2020-01-05,2020-04-08,No,Yes,1/5/2020,1/8/2020,Off,Other,Consumer,Web,No,Yes,4.0,2.0,2.0,1.0,1.0,2020-01-05,1
3582,13201,FRA,Limited,RENEWAL,Web,79.0,USD,2019-02-13,2019-12-01,No,Yes,11/30/2019,12/3/2019,Off,Other,Consumer,Web,Yes,Yes,25.0,0.0,0.0,0.0,0.0,2019-02-13,1
3585,13203,ALL,Lifetime,INITIAL_PURCHASE,Web,212.93,USD,2020-03-20,2099-01-01,No,Yes,3/10/2020,3/13/2020,Off,US/Canada,Consumer,Web,Yes,Yes,13.0,13.0,6.0,4.0,2.0,2020-03-20,0
3588,13208,ESP,Limited,RENEWAL,Web,35.97,USD,2020-01-13,2020-07-20,No,Yes,1/13/2020,1/16/2020,On,US/Canada,Consumer,Web,Yes,Yes,15.0,6.0,2.0,2.0,1.0,2020-01-13,1
3591,13228,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-03,2099-01-01,No,Yes,1/6/2019,1/9/2019,Off,US/Canada,Consumer,App,Yes,Yes,102.0,11.0,3.0,11.0,3.0,2020-03-03,0
3594,13257,RUS,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-02-16,2020-05-19,No,Yes,2/16/2020,2/19/2020,On,US/Canada,Consumer,Web,Yes,Yes,9.0,1.0,0.0,1.0,0.0,2020-02-16,1
3597,13274,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-01-19,2020-04-30,No,Yes,1/19/2020,1/22/2020,Off,US/Canada,Consumer,Web,Yes,Yes,40.0,39.0,2.0,16.0,1.0,2020-01-19,1
3600,13293,ALL,Limited,INITIAL_PURCHASE,Web,203.28,USD,2020-03-06,2022-03-06,No,Yes,3/4/2020,3/7/2020,On,Europe,Consumer,Web,No,Yes,56.0,55.0,53.0,3.0,2.0,2020-03-06,0
3603,13309,ESP,Limited,INITIAL_PURCHASE,Web,38.85,USD,2020-03-13,2020-06-16,No,Yes,3/13/2020,3/16/2020,On,US/Canada,Consumer,Web,Yes,Yes,9.0,0.0,0.0,0.0,0.0,2020-03-13,0
3606,13310,ESP,Limited,RENEWAL,Web,35.97,USD,2019-12-05,2020-04-11,No,Yes,4/11/2020,4/18/2020,Off,Other,Consumer,Web,No,Yes,3.0,3.0,0.0,2.0,0.0,2019-12-05,1
3609,13314,ITA,Limited,RENEWAL,Web,79.0,USD,2019-02-02,2020-02-02,No,Yes,2/4/2020,2/7/2020,Off,Other,Consumer,Web,No,Yes,2.0,2.0,0.0,1.0,0.0,2019-02-02,1
3612,13329,ALL,Lifetime,INITIAL_PURCHASE,Web,299.0,USD,2020-02-26,2099-01-01,No,Yes,2/26/2020,2/29/2020,Off,US/Canada,Consumer,Web,Yes,Yes,9.0,3.0,0.0,2.0,0.0,2020-02-26,0
3615,13345,ESP,Limited,INITIAL_PURCHASE,Web,0.0,USD,2019-05-16,2019-08-19,No,Yes,8/31/2019,9/3/2019,Off,US/Canada,Consumer,Web,Yes,Yes,76.0,3.0,0.0,2.0,0.0,2019-05-16,1
3618,13359,DEU,Limited,RENEWAL,Web,35.97,USD,2019-11-19,2020-07-13,No,Yes,11/19/2019,11/22/2019,Off,US/Canada,Consumer,Web,Yes,Yes,13.0,0.0,0.0,0.0,0.0,2019-11-19,1
3621,13366,FAR,Limited,RENEWAL,Web,79.0,USD,2019-08-07,2020-05-10,No,Yes,8/7/2019,8/10/2019,On,US/Canada,Consumer,Web,Yes,Yes,6.0,5.0,0.0,2.0,0.0,2019-08-07,1
3624,13408,FRA,Limited,RENEWAL,Web,79.0,USD,2019-06-24,2019-12-27,No,Yes,6/24/2019,6/27/2019,Off,US/Canada,Consumer,Web,Yes,Yes,159.0,18.0,0.0,16.0,0.0,2019-06-24,1
3627,13444,ESC,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-08-14,2020-02-17,No,Yes,8/14/2019,8/17/2019,Off,Other,Consumer,Web,Yes,Yes,65.0,1.0,0.0,1.0,0.0,2019-08-14,1
3630,13455,ESP,Limited,INITIAL_PURCHASE,Web,65.94,USD,2020-01-11,2021-01-27,No,Yes,1/11/2020,1/14/2020,On,US/Canada,Consumer,Web,No,Yes,30.0,20.0,7.0,10.0,3.0,2020-01-11,1
3633,13458,FRA,Limited,INITIAL_PURCHASE,Web,39.16,USD,2019-09-15,2020-06-18,No,Yes,3/15/2020,3/18/2020,On,US/Canada,Consumer,Web,Yes,Yes,94.0,12.0,12.0,1.0,1.0,2019-09-15,1
3636,13461,FRA,Limited,RENEWAL,Web,35.97,USD,2019-09-22,2020-07-15,No,Yes,9/22/2019,9/25/2019,On,US/Canada,Consumer,App,Yes,Yes,35.0,1.0,0.0,1.0,0.0,2019-09-22,1
3639,13472,ESC,Limited,INITIAL_PURCHASE,Web,64.61,USD,2019-10-14,2020-04-17,No,Yes,10/14/2019,10/17/2019,Off,Europe,Consumer,Web,No,Yes,3.0,2.0,0.0,1.0,0.0,2019-10-14,1
3642,13473,ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,2020-02-27,2021-02-27,No,Yes,2/22/2020,2/25/2020,On,US/Canada,Consumer,Web,Yes,Yes,30.0,21.0,12.0,3.0,1.0,2020-02-27,0
3645,13481,FRA,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-08-08,2019-11-11,No,Yes,8/8/2019,8/11/2019,Off,Other,Consumer,Web,No,Yes,128.0,6.0,0.0,4.0,0.0,2019-08-08,1
3648,13483,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-19,2099-01-01,No,Yes,11/29/2019,12/2/2019,Off,US/Canada,Consumer,Web,Yes,Yes,5.0,0.0,0.0,0.0,0.0,2020-03-19,0
3651,13488,FRA,Limited,INITIAL_PURCHASE,Web,107.69,USD,2020-02-09,2021-02-13,No,Yes,2/9/2020,2/12/2020,On,Europe,Consumer,Web,No,Yes,19.0,19.0,3.0,6.0,2.0,2020-02-09,0
3654,13491,ESP,Limited,RENEWAL,Web,79.0,USD,2019-08-01,2020-02-04,No,Yes,8/1/2019,8/4/2019,Off,US/Canada,Consumer,Web,Yes,Yes,65.0,1.0,0.0,1.0,0.0,2019-08-01,1
3657,13504,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-09-24,2019-12-30,No,Yes,9/24/2019,9/27/2019,On,US/Canada,Consumer,Web,Yes,Yes,146.0,0.0,0.0,0.0,0.0,2019-09-24,1
3660,13508,ITA,Limited,RENEWAL,Web,79.0,USD,2019-06-24,2019-12-24,No,Yes,3/6/2019,3/9/2019,Off,US/Canada,Consumer,App,Yes,Yes,12.0,12.0,0.0,4.0,0.0,2019-06-24,1
3663,13513,ITA,Limited,INITIAL_PURCHASE,Web,166.1,USD,2020-03-26,2022-04-08,No,Yes,4/5/2020,4/8/2020,On,Europe,Consumer,Web,Yes,Yes,27.0,26.0,13.0,5.0,2.0,2020-03-26,0
3666,13529,GRK,Limited,INITIAL_PURCHASE,Web,0.0,USD,2019-05-05,2019-08-08,No,Yes,4/22/2020,4/29/2020,Off,US/Canada,Consumer,Web,Yes,Yes,23.0,2.0,0.0,1.0,0.0,2019-05-05,1
3669,13539,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-02-23,2020-05-26,No,Yes,2/23/2020,2/26/2020,On,US/Canada,Consumer,Web,Yes,Yes,10.0,2.0,0.0,1.0,0.0,2020-02-23,1
3672,13545,ESP,Limited,INITIAL_PURCHASE,Web,38.49,USD,2020-02-12,2020-05-15,No,Yes,2/12/2020,2/15/2020,On,US/Canada,Consumer,Web,Yes,Yes,9.0,0.0,0.0,0.0,0.0,2020-02-12,1
3675,13553,ESC,Limited,INITIAL_PURCHASE,Web,75.38,USD,2020-03-29,2020-10-01,No,Yes,3/29/2020,4/1/2020,On,Europe,Consumer,Web,Yes,Yes,18.0,13.0,12.0,3.0,2.0,2020-03-29,0
3678,13557,EBR,Limited,INITIAL_PURCHASE,Web,47.43,USD,2020-02-15,2020-05-18,No,Yes,2/15/2020,2/18/2020,Off,Europe,Consumer,Web,No,Yes,120.0,30.0,16.0,8.0,2.0,2020-02-15,1
3681,13563,ITA,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-03-21,2020-06-26,No,Yes,3/21/2020,3/24/2020,On,US/Canada,Consumer,Web,No,Yes,6.0,6.0,2.0,2.0,1.0,2020-03-21,0
3684,13578,DEU,Limited,INITIAL_PURCHASE,Web,61.85,USD,2020-03-23,2020-09-26,No,Yes,3/23/2020,3/26/2020,On,Europe,Consumer,Web,Yes,Yes,9.0,9.0,9.0,2.0,2.0,2020-03-23,0
3687,13596,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-27,2099-01-01,No,Yes,3/27/2020,4/3/2020,Off,US/Canada,Consumer,Web,No,Yes,5.0,4.0,0.0,1.0,0.0,2020-03-27,0
3690,13601,ALL,Limited,INITIAL_PURCHASE,Web,221.01,USD,2020-03-31,2021-03-31,No,Yes,3/21/2020,3/24/2020,On,Europe,Consumer,Web,Yes,Yes,2.0,2.0,0.0,1.0,0.0,2020-03-31,0
3693,13608,ALL,Lifetime,INITIAL_PURCHASE,Web,211.64,USD,2020-03-22,2099-01-01,No,Yes,9/9/2019,9/12/2019,Off,US/Canada,Consumer,Web,Yes,Yes,220.0,58.0,12.0,25.0,3.0,2020-03-22,0
3696,13614,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-10-28,2020-02-02,No,Yes,10/28/2019,10/31/2019,Off,US/Canada,Consumer,Web,Yes,Yes,53.0,0.0,0.0,0.0,0.0,2019-10-28,1
3699,13617,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-02-25,2099-01-01,No,Yes,2/21/2020,2/24/2020,Off,Other,Consumer,Web,No,Yes,6.0,6.0,6.0,1.0,1.0,2020-02-25,0
3702,13630,ITA,Limited,INITIAL_PURCHASE,Web,59.29,USD,2020-03-13,2020-06-22,No,Yes,3/16/2020,3/19/2020,On,Europe,Consumer,Web,Yes,Yes,4.0,0.0,0.0,0.0,0.0,2020-03-13,0
3705,13669,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-03-26,2020-06-29,No,Yes,3/26/2020,3/29/2020,On,US/Canada,Consumer,Web,Yes,Yes,9.0,7.0,0.0,2.0,0.0,2020-03-26,0
3708,13673,RUS,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-08-07,2019-11-10,No,Yes,8/7/2019,8/10/2019,Off,Europe,Consumer,Web,Yes,Yes,65.0,0.0,0.0,0.0,0.0,2019-08-07,1
3711,13689,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-01-28,2020-04-28,No,Yes,1/28/2020,1/31/2020,Off,Other,Consumer,Web,Yes,Yes,3.0,3.0,1.0,2.0,1.0,2020-01-28,1
3714,13695,ALL,Lifetime,INITIAL_PURCHASE,Web,185.83,USD,2020-03-03,2099-01-01,No,Yes,3/3/2020,3/10/2020,Off,US/Canada,Consumer,Web,Yes,Yes,45.0,1.0,0.0,1.0,0.0,2020-03-03,0
3717,13702,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-11-13,2020-02-18,No,Yes,11/13/2019,11/16/2019,Off,US/Canada,Consumer,Web,No,Yes,8.0,8.0,2.0,3.0,2.0,2019-11-13,1
3720,13704,ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,2020-03-28,2021-03-28,No,Yes,3/27/2020,4/3/2020,Off,US/Canada,Consumer,Web,No,Yes,4.0,4.0,0.0,1.0,0.0,2020-03-28,0
3723,13705,ESC,Limited,INITIAL_PURCHASE,Web,59.89,USD,2020-02-14,2020-05-18,No,Yes,2/14/2020,2/17/2020,On,Europe,Consumer,Web,No,Yes,8.0,6.0,3.0,2.0,1.0,2020-02-14,0
3726,13709,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-24,2099-01-01,No,Yes,2/27/2020,3/1/2020,Off,Other,Consumer,Web,No,Yes,39.0,18.0,5.0,12.0,3.0,2020-03-24,0
3729,13726,ARA,Limited,INITIAL_PURCHASE,Web,39.0,USD,2020-01-03,2020-04-03,No,Yes,1/4/2020,1/7/2020,Off,Other,Consumer,Web,No,Yes,2.0,0.0,0.0,0.0,0.0,2020-01-03,1
3732,13727,FRA,Limited,INITIAL_PURCHASE,Web,41.15,USD,2019-08-27,2019-11-29,No,Yes,8/27/2019,8/30/2019,Off,US/Canada,Consumer,Web,Yes,Yes,1.0,0.0,0.0,0.0,0.0,2019-08-27,1
3735,13752,ESP,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-07-22,2019-10-25,No,Yes,7/22/2019,7/25/2019,Off,US/Canada,Consumer,Web,Yes,Yes,108.0,0.0,0.0,0.0,0.0,2019-07-22,1
3738,13763,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-15,2099-01-01,No,Yes,11/10/2019,11/13/2019,Off,US/Canada,Consumer,App,Yes,Yes,181.0,24.0,6.0,4.0,2.0,2020-03-15,0
3741,13768,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-02-18,2020-05-27,No,Yes,2/18/2020,2/21/2020,On,US/Canada,Consumer,Web,Yes,Yes,226.0,213.0,210.0,2.0,1.0,2020-02-18,1
3744,13782,FRA,Limited,INITIAL_PURCHASE,Web,95.91,USD,2020-02-05,2021-02-09,No,Yes,2/5/2020,2/8/2020,On,Europe,Consumer,Web,No,Yes,24.0,21.0,21.0,1.0,1.0,2020-02-05,0
3747,13793,ESP,Limited,INITIAL_PURCHASE,Web,39.6,USD,2020-03-16,2020-06-20,No,Yes,3/16/2020,3/19/2020,On,US/Canada,Consumer,Web,Yes,Yes,7.0,0.0,0.0,0.0,0.0,2020-03-16,0
3750,13795,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-11-05,2020-05-06,No,Yes,11/5/2019,11/8/2019,On,US/Canada,Consumer,Web,No,Yes,76.0,6.0,3.0,4.0,1.0,2019-11-05,1
3753,13797,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-24,2099-01-01,No,Yes,3/21/2020,3/24/2020,Off,US/Canada,Consumer,Web,Yes,Yes,11.0,10.0,0.0,2.0,0.0,2020-03-24,0
3756,13807,ESP,Limited,INITIAL_PURCHASE,App,33.99,USD,2020-01-30,2020-05-06,No,Yes,1/30/2020,2/6/2020,On,US/Canada,Consumer,App,No,Yes,2.0,0.0,0.0,0.0,0.0,2020-01-30,1
3759,13821,EBR,Limited,INITIAL_PURCHASE,Web,75.38,USD,2020-01-20,2020-07-23,No,Yes,1/20/2020,1/23/2020,On,Europe,Consumer,Web,No,Yes,24.0,23.0,22.0,4.0,3.0,2020-01-20,1
3762,13838,HIN,Limited,INITIAL_PURCHASE,Web,35.97,USD,2020-03-21,2020-07-01,No,Yes,3/21/2020,3/24/2020,On,US/Canada,Consumer,Web,Yes,Yes,51.0,13.0,5.0,7.0,2.0,2020-03-21,0
